district,area,bedrooms,garage,type,rent
Vila Sabrina,59,2,1,Apartamento,1650
Santana,71,2,0,Apartamento,2300
Vila Guilhermina,100,3,2,Casa,2400
Vila Mariana,62,2,1,Apartamento,2500
São José,80,3,2,Apartamento,3500
Santana,62,2,1,Apartamento,2000
Vila N Sra de Fatima,75,1,0,Casa,1000
Jardim Ibitirama,35,1,0,Apartamento,1550
Vila Augusta,36,1,1,Apartamento,2460
Limão,136,2,2,Casa em condomínio,2800
Sé,28,1,0,Studio e kitnet,912
Vila Natália,80,2,1,Casa,1900
Belenzinho,60,2,1,Apartamento,3600
Vila Formosa,43,1,0,Casa,1180
Liberdade,25,1,0,Studio e kitnet,2415
Vila Ema,32,2,0,Apartamento,1250
Parque Edu Chaves,80,2,0,Casa,1428
Vila Gustavo,110,2,0,Casa,1920
Mooca,30,1,0,Apartamento,1410
Vila Regente Feijó,41,1,1,Apartamento,2650
Várzea da Barra Funda,40,1,1,Apartamento,2650
Vila Mascote,55,3,2,Apartamento,3200
Jardim Consorcio,35,1,0,Casa,1200
Vila Pirituba,55,2,1,Casa,1460
Brás,62,2,1,Apartamento,1700
Vila Regente Feijó,40,1,0,Casa,1080
Vila Dom Pedro I,45,1,1,Apartamento,2500
Jardim Paulista,75,2,0,Casa,3500
Bom Retiro,88,2,0,Apartamento,1750
Vila Mariana,62,2,0,Apartamento,2500
Vila Monumento,70,2,1,Apartamento,1900
Cidade Mãe do Céu,35,1,0,Casa,1700
Sumarezinho,48,2,1,Apartamento,2900
Vila Mazzei,28,1,1,Studio e kitnet,1800
Vila Regente Feijó,68,3,2,Apartamento,2058
Vila Prudente,55,2,1,Apartamento,2200
Vila Alpina,46,2,0,Apartamento,1700
Vila Romana,20,1,0,Studio e kitnet,1250
Jardim Botucatu,60,3,1,Apartamento,1290
Jardim Japão,20,1,0,Studio e kitnet,610
Jardim das Vertentes,60,1,0,Casa,1200
Imirim,40,1,0,Apartamento,780
Vila Mariana,30,1,0,Apartamento,1980
Brás,45,2,1,Apartamento,1600
Saúde,59,2,0,Casa,2100
Chácara Belenzinho,40,2,0,Apartamento,1200
Brasilândia,55,2,0,Casa,1000
Vila Cleonice,190,3,0,Casa,3000
Jardim Líbano,135,3,2,Casa,3200
Paraíso,73,2,0,Apartamento,3500
Bela Vista,49,1,0,Apartamento,1500
Tatuapé,32,1,0,Studio e kitnet,1990
Vila Elze,125,3,1,Casa,1700
Bela Vista,38,1,0,Studio e kitnet,1280
Liberdade,45,2,1,Studio e kitnet,2183
Vila Maria,150,4,2,Casa,4500
Parque Peruche,50,2,0,Casa em condomínio,2350
Perdizes,70,2,1,Apartamento,3500
Vila Nova Cachoeirinha,40,2,0,Casa,1500
Vila Invernada,45,2,0,Apartamento,1700
Casa Verde,100,3,0,Casa,2000
Vila Pompéia,60,1,0,Apartamento,2009
Belenzinho,24,1,0,Studio e kitnet,1700
Vila Clementino,32,1,0,Studio e kitnet,3000
Santa Efigênia,42,1,0,Apartamento,3138
Chácara Belenzinho,152,2,2,Casa,2250
Centro,29,1,0,Studio e kitnet,1300
Vila do Encontro,150,2,1,Casa,1554
Jardim Íris,46,2,1,Apartamento,1700
Penha de França,50,1,0,Casa em condomínio,1700
Vila Mariana,68,1,0,Apartamento,2200
Barra Funda,31,1,0,Apartamento,1423
Vila Andrade,55,2,1,Apartamento,2600
Rudge Ramos,35,1,0,Studio e kitnet,1300
Vila Barbosa,35,2,1,Apartamento,1550
Pinheiros,80,1,0,Apartamento,3063
Vila Formosa,42,2,0,Apartamento,1300
Jardim Vista Linda,120,3,2,Casa,2500
Parque Cruzeiro do Sul (vila Formosa),31,1,0,Apartamento,1100
Macedo,110,2,1,Casa,3100
Vila Nova Savoia,38,1,0,Casa,1000
Vila Guilherme,119,3,1,Casa,2500
Vila Guaca,127,3,2,Casa,3200
Vila Isolina Mazzei,55,2,1,Apartamento,1800
Água Fria,183,4,4,Casa,5000
Vila Mariana,60,1,0,Casa,2100
Brás,53,2,0,Apartamento,1977
Vila Esperança,40,1,0,Apartamento,1600
Vila Matilde,40,1,0,Apartamento,1600
Vila Nilo,120,2,0,Casa,2040
Vila Mariana,31,1,0,Apartamento,2800
Jardim Utinga,63,3,1,Apartamento,1600
Vila Clementino,140,2,4,Casa,4000
Vila Alpina,40,2,1,Apartamento,1450
Vila Pires,39,2,1,Apartamento,1550
Vila Clementino,46,1,1,Apartamento,4300
Vila Andrade,55,1,1,Apartamento,2450
Pinheiros,93,2,0,Apartamento,4220
Vila Venditti,50,2,1,Apartamento,2000
Campos Elíseos,83,2,0,Apartamento,1940
Jardim Vila Formosa,125,2,1,Casa,3000
Vila Butantã,38,2,0,Apartamento,3000
Bela Vista,68,2,0,Apartamento,2000
Vila Progresso,160,3,3,Casa,2500
Jardim Trussardi,35,1,1,Casa,1500
Vila Aricanduva,30,1,0,Apartamento,1250
Vila Andrade,51,2,1,Apartamento,3000
Vila Prudente,190,3,1,Casa,5300
Santa Efigênia,51,1,0,Apartamento,1000
Vila Butantã,38,2,1,Apartamento,3000
Vila Andrade,80,2,1,Apartamento,3200
Chácara Santo Antônio (zona Leste),90,3,1,Apartamento,2500
Jardim Consorcio,30,1,0,Casa,1100
Ponte Grande,50,2,0,Apartamento,1410
Vila Formosa,42,1,0,Casa em condomínio,2200
Vila Isolina Mazzei,85,3,2,Casa em condomínio,2900
Vila Formosa,26,1,0,Apartamento,1150
Consolação,34,1,1,Studio e kitnet,3114
Jardim Brasil (zona Norte),35,1,0,Casa,808
Tremembé,40,1,0,Apartamento,1280
Jabaquara,104,2,2,Casa,3200
Campos Elíseos,32,1,1,Apartamento,1428
Cidade Patriarca,43,1,0,Casa,812
Vila Camilopolis,100,2,1,Apartamento,2600
Parque da Vila Prudente,41,2,1,Apartamento,2500
Santa Teresinha,44,2,1,Apartamento,1350
Vila Mariana,100,2,1,Casa em condomínio,5500
Vila Alzira,143,3,3,Casa,3800
Vila Campestre,109,2,2,Casa,1900
Ipiranga,67,2,2,Apartamento,2800
Vila Matilde,50,2,0,Apartamento,1800
Bosque da Saúde,120,2,1,Casa,3366
Cambuci,49,2,1,Apartamento,2040
Vila Campestre,35,1,0,Casa em condomínio,843
Vila Antonina,30,1,0,Apartamento,1500
Vila Mariana,25,1,0,Studio e kitnet,1650
Vila Dinorah,80,2,2,Casa,2517
Vila das Mercês,72,3,1,Apartamento,1600
Gopoúva,75,3,1,Apartamento,2600
Parque Mandaqui,92,3,1,Apartamento,2000
Vila Portugal,69,3,1,Apartamento,1400
Consolação,30,1,0,Apartamento,1600
Vila Sao Francisco (zona Sul),245,3,2,Casa,5000
Chácara Monte Alegre,120,2,1,Casa,4500
Jardim Taquaral,34,2,0,Apartamento,1697
Vila Antonina,40,2,1,Apartamento,2200
Pompeia,62,1,0,Apartamento,2500
Vila Guilherme,36,2,1,Apartamento,1700
Vila Buarque,35,1,0,Studio e kitnet,1250
Vila Azevedo,90,3,1,Apartamento,2200
Vila Carrao,40,2,0,Apartamento,1500
Jardim Japão,37,1,0,Studio e kitnet,1164
Vila Príncipe de Gales,50,2,1,Apartamento,1356
Jardim Guanca,42,1,1,Casa,990
Vila Pirituba,70,3,1,Casa,2700
Alto da Boa Vista,26,1,0,Apartamento,2800
Vila Carrao,35,1,1,Casa,1380
Mirandópolis,36,1,0,Studio e kitnet,1600
Jardim de Lorenzo,55,2,0,Casa,1250
Parque Maria Domitila,45,1,0,Casa,850
Chácara Inglesa,42,1,0,Casa,750
Vila Lageado,67,3,1,Apartamento,3500
Vila Buarque,47,1,1,Apartamento,4000
Vila Medeiros,80,2,1,Casa,1604
Jardim Independência,61,3,1,Apartamento,1942
Cambuci,40,2,0,Apartamento,2300
Aclimação,62,2,1,Apartamento,2758
Vila Ramos,35,1,0,Casa,650
Vila da Saúde,85,2,2,Apartamento,4095
Tucuruvi,27,2,0,Studio e kitnet,1340
Vila Clementino,13,1,0,Studio e kitnet,900
Vila Indiana,55,2,1,Apartamento,2200
Mirandópolis,58,2,0,Apartamento,2400
Rolinópolis,26,1,0,Casa,650
Vila Mazzei,45,1,1,Apartamento,2000
Centro Histórico de São Paulo,42,1,1,Apartamento,2800
Vila Suzana,85,3,2,Apartamento,2900
Vila Santa Catarina,50,2,1,Apartamento,1500
Vila Mariana,70,3,1,Apartamento,2500
Vila Sao Geraldo,35,1,0,Studio e kitnet,1200
Vila Miriam,50,2,1,Casa,1350
Vila Medeiros,49,2,1,Apartamento,1850
Centro,51,1,0,Apartamento,1161
Mandaqui,24,1,0,Studio e kitnet,950
Cambuci,84,3,1,Apartamento,4000
Alto da Mooca,70,2,1,Apartamento,4142
Vila Pereira Barreto,28,1,0,Casa,950
Bela Vista,25,1,0,Apartamento,2700
Campo Belo,36,1,1,Studio e kitnet,3120
Jardim Peri,54,2,1,Apartamento,1500
Cambuci,88,2,0,Apartamento,2750
Butantã,63,2,1,Apartamento,3000
Jardim Leonor,60,1,2,Apartamento,4000
Vila Gustavo,28,1,0,Apartamento,1500
Ponte Grande,47,2,1,Apartamento,1630
Vila Mazzei,30,1,0,Studio e kitnet,1500
Vila Pereira Cerca,42,1,0,Casa,840
Santana,41,1,1,Apartamento,2070
Vila Monumento,89,3,1,Apartamento,2600
Vila Nancy,42,1,1,Apartamento,2350
Jardim Ivana,40,1,0,Studio e kitnet,1070
Vila Moraes,24,1,0,Casa em condomínio,600
Jardim das Laranjeiras,30,1,0,Apartamento,1000
República,28,1,0,Apartamento,2500
República,29,1,0,Studio e kitnet,2200
Jardim Bonfiglioli,30,1,0,Casa,1600
Tatuapé,27,1,0,Apartamento,2450
Vila Andrade,43,1,1,Apartamento,1800
Vila Santo Estefano,50,1,1,Casa,1880
Vila Alpina,37,2,0,Apartamento,1660
Vila Matilde,130,2,2,Casa em condomínio,4500
Maranhão,22,1,0,Studio e kitnet,844
Jardim América da Penha,40,2,0,Apartamento,1420
Vila Pedra Branca,35,1,0,Casa,1210
Campos Elíseos,11,1,0,Studio e kitnet,2125
Sítio da Figueira,42,1,1,Apartamento,1900
Bela Vista,31,2,0,Apartamento,2010
Vila Tolstoi,23,1,0,Studio e kitnet,850
Parque Vitoria,41,2,0,Apartamento,1500
Anchieta,56,2,1,Apartamento,2536
Santo Amaro,95,2,1,Apartamento,2700
Santa Teresinha,50,2,1,Apartamento,1600
Vila Buarque,62,1,1,Apartamento,2600
Vila Roque,40,2,1,Casa,1300
Vila Pereira Barreto,26,1,0,Casa,950
Parque da Mooca,65,2,1,Apartamento,2230
Jardim da Glória,28,1,0,Apartamento,2000
Vila Roque,58,2,1,Apartamento,2620
Parada Inglesa,106,2,1,Apartamento,3500
Vila Ré,191,3,2,Casa,5000
Vila Esperança,54,2,1,Casa,1350
Vila Mazzei,29,1,0,Apartamento,1070
Jardim Flor da Montanha,28,1,0,Apartamento,700
Rudge Ramos,53,2,1,Apartamento,1900
Loteamento City Jaragua,46,2,1,Apartamento,1000
Santa Ifigênia,28,1,0,Studio e kitnet,2100
Jardim Paulista,40,1,0,Apartamento,2750
Campestre,42,1,1,Apartamento,2200
Sé,35,1,0,Apartamento,2000
Vila Anastácio,50,2,1,Apartamento,2350
Penha de França,55,2,1,Casa,2200
Vila Boacava,30,1,0,Casa em condomínio,1000
Vila Leopoldina,80,3,1,Casa,3000
Canhema,35,2,0,Casa,800
Jardim das Acácias,38,1,0,Apartamento,2250
Vila Invernada,36,2,1,Apartamento,1900
Vila Tolstoi,50,2,0,Apartamento,1700
Jardim Seckler,29,1,0,Apartamento,965
Centro Histórico de São Paulo,43,1,0,Apartamento,1500
Santa Cecília,36,1,0,Studio e kitnet,3200
Vila Aricanduva,160,2,2,Casa em condomínio,7500
Vila Clementino,18,1,0,Studio e kitnet,1161
Santo Antônio,89,2,1,Apartamento,2264
Itaim Bibi,38,1,1,Studio e kitnet,3750
Alto da Mooca,77,3,2,Apartamento,3600
Vila Clementino,72,2,1,Apartamento,2640
Jardim Las Vegas,80,3,2,Apartamento,1895
Jabaquara,72,3,0,Apartamento,2150
Vila Santa Catarina,86,2,2,Apartamento,4150
Parque das Nações,53,2,1,Apartamento,2100
Vila Silveira,30,1,0,Casa,890
Utinga,50,2,1,Apartamento,1090
Vila Monte Alegre,63,2,1,Apartamento,1734
Gopoúva,76,2,1,Apartamento,2100
Água Branca,92,3,1,Apartamento,5000
Bela Vista,40,1,1,Apartamento,2700
Jardim Modelo,57,2,1,Apartamento,3500
Barra Funda,43,1,0,Apartamento,3715
Vila Constancia,75,1,2,Apartamento,3000
Tatuapé,25,1,0,Studio e kitnet,2200
Santa Cecília,42,1,1,Apartamento,3000
Lauzane Paulista,53,2,1,Apartamento,1180
Vila Leopoldina,71,2,1,Apartamento,2300
Santana,46,2,0,Apartamento,3500
Vila Amélia,53,2,1,Apartamento,1450
Vila Boacava,28,1,0,Casa em condomínio,950
Consolação,30,1,0,Studio e kitnet,1200
Vila da Saúde,19,1,0,Apartamento,1300
Vila Butantã,24,1,0,Casa,1100
Santo Amaro,60,2,1,Apartamento,1837
Vila Dom Pedro Ii,55,2,0,Apartamento,3200
Perdizes,68,2,1,Apartamento,3300
Campos Elíseos,60,1,0,Apartamento,1800
Jardim Santa Emília,63,2,1,Apartamento,1600
São João Climaco,50,2,1,Apartamento,2400
Vila Germinal,33,1,0,Casa,1200
Jardim Esmeralda,40,2,0,Apartamento,1500
Campo Belo,38,1,0,Studio e kitnet,3200
Campos Elíseos,30,1,0,Apartamento,1155
Sé,22,1,1,Studio e kitnet,2200
Jardim Ampliação,50,2,1,Apartamento,2395
Paulicéia,15,1,0,Casa,800
Vila Andrade,50,2,1,Apartamento,1550
Cambuci,37,1,0,Apartamento,1500
Campo Belo,57,1,1,Apartamento,4000
Mooca,50,1,1,Apartamento,1500
Vila Augusta,38,1,1,Apartamento,3200
Vila Cordeiro,170,3,3,Casa,8500
Brás,20,1,0,Studio e kitnet,2000
Jardim Vila Formosa,50,2,0,Apartamento,6000
Vila Guilherme,127,3,2,Casa,3750
Vila Ivone,55,2,1,Apartamento,2250
Vila Clementino,58,2,0,Apartamento,2500
Vila Paulistania,45,2,1,Apartamento,1260
Jardim Santa Emília,41,2,1,Apartamento,2408
Taboão,35,1,0,Casa,980
Vila do Castelo,65,3,1,Apartamento,2220
Fazenda Morumbi,49,2,2,Apartamento,3100
Jardim das Gracas,39,2,1,Apartamento,1700
Várzea da Barra Funda,41,2,1,Apartamento,2650
Jardim Vila Formosa,50,2,1,Apartamento,6000
Pompeia,142,3,2,Apartamento,7500
Vila Pompéia,72,2,2,Apartamento,6700
Jardim Paulista,62,2,1,Apartamento,5770
Campos Elíseos,29,1,0,Apartamento,1100
Santa Efigênia,28,1,0,Apartamento,1500
Pinheiros,65,2,1,Apartamento,2700
Parque Continental Ii,85,2,1,Casa,2400
Limão,60,1,0,Casa,1550
Vila Nova Conceição,47,1,1,Apartamento,3900
Jardim Paulista,65,1,1,Apartamento,1600
Paraíso,43,1,1,Apartamento,3360
Jardim Caboré,50,2,1,Apartamento,1843
Barra Funda,67,2,1,Apartamento,5000
Indianópolis,26,1,0,Studio e kitnet,3250
Indianópolis,42,1,1,Apartamento,2540
Pinheiros,80,2,1,Apartamento,8000
Bom Retiro,42,2,0,Apartamento,1700
Jardim das Vertentes,20,1,0,Studio e kitnet,970
Paraíso,109,2,1,Apartamento,4000
Jaguaré,50,2,0,Apartamento,1940
Vila Mazzei,32,1,0,Apartamento,1600
Brás,50,1,1,Apartamento,2705
Jardim Japão,63,3,1,Apartamento,3200
Pinheiros,38,1,1,Studio e kitnet,4690
Pinheiros,33,1,1,Studio e kitnet,5500
Cidade Domitila,40,1,0,Casa,850
Bela Vista,42,1,1,Apartamento,2000
Vila Mariana,15,1,0,Studio e kitnet,2973
Vila Santa Catarina,81,2,1,Apartamento,4600
Vila Tramontano,50,1,1,Apartamento,2660
Perdizes,27,1,0,Studio e kitnet,2820
Santa Cecilia,32,1,1,Apartamento,2800
Vila Mariana,16,1,0,Studio e kitnet,2400
Vila Califórnia,41,2,0,Apartamento,1742
Vila Mariana,22,1,0,Studio e kitnet,2836
Perdizes,98,3,2,Apartamento,3900
Pinheiros,70,2,1,Apartamento,7800
Vila Uberabinha,48,1,1,Apartamento,3700
Pompeia,26,1,1,Apartamento,2800
Vila Clementino,24,1,0,Studio e kitnet,2750
Vila Mariana,50,2,0,Apartamento,2639
Vila Mascote,56,2,1,Apartamento,2142
Sumarezinho,98,3,1,Apartamento,4100
República,23,1,0,Studio e kitnet,2700
Santa Cecilia,40,1,1,Studio e kitnet,2000
Macedo,64,3,1,Apartamento,2200
Perdizes,92,2,1,Apartamento,3935
Jardim Paulista,55,2,0,Apartamento,3540
Jardim Oriental,14,1,0,Apartamento,1500
Barra Funda,64,1,0,Apartamento,1800
Chácara Inglesa,80,2,1,Apartamento,2900
Vila Zilda,52,2,1,Apartamento,2100
Jardim Ampliacao,75,3,1,Apartamento,2550
Jardim Paulista,72,2,1,Apartamento,6090
Vila Olímpia,112,3,2,Apartamento,9500
Vila Continental,55,1,0,Casa,1500
Jardim Ampliacao,80,2,2,Apartamento,9000
Campos Elíseos,47,1,0,Apartamento,1300
Vila Andrade,75,2,1,Apartamento,3200
Bela Vista,55,1,0,Apartamento,2000
Vila Andrade,98,2,2,Apartamento,3000
Vila Olímpia,76,3,1,Apartamento,6800
Quinta da Paineira,35,1,1,Apartamento,1511
Jardim Paulista,57,1,1,Apartamento,2756
Indianópolis,212,3,2,Apartamento,15000
Parque da Mooca,42,2,1,Apartamento,2200
Chácara do Vovó,50,2,1,Apartamento,1250
Jardim Paulista,150,3,1,Apartamento,8000
Sumarezinho,160,3,3,Apartamento,12500
Brooklin,25,1,0,Apartamento,3300
Vila Nova Conceição,100,1,2,Apartamento,15000
Jardim Paulista,35,1,1,Apartamento,4300
Vila Nair,40,1,0,Casa,1200
Sumarezinho,47,2,1,Apartamento,2200
Barra Funda,44,1,1,Apartamento,3300
Vila Madalena,93,3,2,Apartamento,2900
Cerqueira César,41,1,1,Studio e kitnet,3230
Jardim das Laranjeiras,39,1,0,Casa,1100
Itaim Bibi,47,1,1,Apartamento,6800
Vila Cordeiro,95,3,1,Apartamento,3500
Vila Paulista,64,3,1,Apartamento,2500
Cidade Monções,39,1,1,Apartamento,3600
Jardim Paulista,40,1,1,Studio e kitnet,3200
Consolação,35,1,0,Studio e kitnet,1600
Vila Mariana,44,1,1,Studio e kitnet,4200
Butantã,67,3,1,Apartamento,2800
Vila Santa Catarina,40,1,1,Apartamento,1791
Vila Olímpia,74,2,1,Apartamento,13500
Liberdade,50,1,0,Apartamento,1700
Vila Suzana,58,1,1,Apartamento,3400
Vila Olímpia,53,1,2,Studio e kitnet,4800
Jaguaré,73,3,2,Apartamento,3300
Picanço,71,3,2,Apartamento,1850
Vila Santa Teresa,49,2,1,Apartamento,1375
Campos Elíseos,43,1,0,Apartamento,1150
Vila Santo Estefano,90,3,2,Apartamento,2500
Perdizes,84,3,2,Apartamento,3509
Jardim Adriana,125,2,2,Casa em condomínio,1500
Vila Curuçá,100,2,2,Casa,2000
Vila Maria Alta,126,2,2,Casa,2100
Vila Guilherme,50,1,0,Apartamento,600
Vila Moinho Velho,140,3,2,Casa,2800
Chácara Mafalda,180,3,3,Casa,3200
Jardim Oriental,150,2,5,Casa,2300
Jardim Guanca,50,1,0,Apartamento,1250
Santa Efigênia,39,1,0,Studio e kitnet,1150
Vila Oratorio,170,2,2,Casa,2700
Socorro,45,1,0,Apartamento,2080
Vila Prudente,42,1,0,Apartamento,1350
Vila Gomes Cardim,40,1,0,Apartamento,1500
Liberdade,36,1,0,Studio e kitnet,1798
Planalto Paulista,70,1,1,Casa,2080
Vila Moreira,50,1,0,Casa,1200
Vila Mariana,40,1,0,Casa,1980
Tatuapé,22,1,0,Studio e kitnet,1140
Vila Prudente,31,1,0,Apartamento,1450
Parque das Nações,125,3,2,Casa,2800
Vila Esperança,51,2,0,Apartamento,1300
Liberdade,22,1,0,Studio e kitnet,1500
Vila Invernada,120,2,2,Casa,2300
Penha de França,100,2,2,Casa,2150
Penha de França,60,2,0,Casa,1480
Santana,24,1,1,Studio e kitnet,2000
Liberdade,35,1,0,Apartamento,1475
Vila Bertioga ,40,1,0,Studio e kitnet,1050
Vila Camilópolis,69,2,1,Casa,1750
Vila Alpina,40,1,0,Casa,1000
Belenzinho,52,2,0,Apartamento,2100
Bela Vista,81,3,0,Apartamento,2020
Taboão,40,1,1,Apartamento,1000
Santo Amaro,150,3,2,Casa em condomínio,3500
Jardim Popular,80,2,1,Casa em condomínio,1900
Jardim Cidade Pirituba,130,2,2,Casa,3200
Boa Vista,63,2,2,Apartamento,3000
Vila Ema,40,1,1,Apartamento,1200
Mooca,110,2,1,Casa,2800
Conjunto Habitacional Teotonio Vilela,36,1,1,Casa,900
República,35,1,0,Studio e kitnet,1671
Vila Nova Pauliceia,80,2,1,Casa,1800
Jardim Arize,58,2,1,Apartamento,1230
Centro,60,1,0,Apartamento,2100
Vila Rosália,60,1,0,Apartamento,1150
Jardim do Papai,120,2,2,Casa,3000
Vila Mariana,196,3,2,Casa,4500
Vila Andrade,45,1,1,Apartamento,3519
Vila Brasilina,35,1,0,Casa em condomínio,1000
Ipiranga,54,2,0,Apartamento,1820
Vila Bela,50,2,2,Casa,2500
Portal dos Gramados,51,2,1,Apartamento,1500
Brooklin Paulista,107,2,1,Casa,3950
Vila Maria,45,2,1,Apartamento,2700
Planalto Paulista,300,4,4,Casa,8000
Casa Verde,29,1,0,Studio e kitnet,1500
Tatuapé,42,1,0,Studio e kitnet,950
Planalto Paulista,60,2,0,Casa,2368
Vila Beatriz,50,2,1,Casa em condomínio,1610
Cambuci,35,1,0,Apartamento,1493
Tatuapé,32,1,0,Apartamento,850
Sítio da Figueira,63,2,1,Apartamento,2000
Vila Invernada,36,1,0,Apartamento,1120
Jardim Brasil (zona Norte),85,1,0,Casa,1200
Sítio do Mandaqui,50,2,1,Casa,1460
Jardim da Saúde,69,2,1,Apartamento,1881
Vila Regente Feijó,55,1,2,Apartamento,4000
Vila Regente Feijó,55,1,2,Studio e kitnet,4300
Vila Germinal,62,2,1,Casa em condomínio,1693
Vila Elze,80,2,1,Casa,1600
Vila Gomes Cardim,42,1,1,Apartamento,2600
Vila Mazzei,45,1,0,Casa em condomínio,820
Sé,23,1,1,Studio e kitnet,1790
Vila Maria Alta,45,1,0,Apartamento,1120
Vila Andrade,58,2,2,Apartamento,2500
Jardim Independência (são Paulo),60,3,0,Casa,1500
Liberdade,44,1,0,Apartamento,1100
Vila das Mercês,75,2,1,Apartamento,2250
Vila São Pedro,48,2,1,Apartamento,1900
Vila Libanesa,65,2,1,Casa,1680
Vila Gustavo,100,2,1,Apartamento,1690
Vila Bertioga,70,2,0,Casa,2065
Vila Anglo Brasileira,110,2,2,Casa,3500
Santana,60,2,1,Casa,2300
Liberdade,22,1,0,Studio e kitnet,900
Vila Dom Pedro I,35,1,0,Casa,2000
Vila Vermelha,42,1,0,Casa,1150
Casa Verde Alta,50,1,0,Casa em condomínio,935
Liberdade,48,1,0,Apartamento,2420
Vila Nilo,65,2,0,Casa,1150
Vila Alpina,200,3,5,Casa,5000
Vila Guilherme,40,1,0,Casa em condomínio,1350
Penha de França,50,2,0,Casa,1298
Vila Regente Feijó,50,2,1,Apartamento,2350
Mirandópolis,41,1,0,Apartamento,2800
Barra Funda,36,2,0,Apartamento,1980
Vila Medeiros,60,2,0,Casa,1150
Vila Prudente,40,1,0,Apartamento,1450
Bela Vista,55,1,0,Apartamento,1450
Jardim Umarizal,54,2,1,Apartamento,1518
Vila Santo Estéfano,50,1,0,Casa,1110
Taboão,47,2,1,Apartamento,1200
Vila Augusta,86,2,2,Apartamento,3950
Vila Nivi,160,3,1,Casa,2600
Barra Funda,32,1,0,Apartamento,1800
Vila Primavera,55,2,0,Apartamento,1450
Nossa Senhora do Ó,56,2,1,Apartamento,2300
Tucuruvi,45,2,1,Apartamento,1995
Jardim Cristin Alice,52,2,0,Apartamento,1033
Mirandópolis,65,2,0,Apartamento,2000
Parque São Luís,100,3,0,Casa,1850
Campos Elíseos,40,1,0,Apartamento,1800
Parque da Vila Prudente,30,1,0,Apartamento,1985
Ferreira,37,1,0,Apartamento,2000
Bela Vista,29,1,0,Apartamento,2800
Jardim Japao,35,1,0,Casa,760
Bela Vista,34,1,1,Apartamento,3400
Vila Cruzeiro,45,1,1,Apartamento,2780
Vila Ema,27,1,0,Apartamento,950
Vila Olímpia,34,1,1,Studio e kitnet,3450
Sumarezinho,59,1,0,Apartamento,2900
Jardim Cidade Pirituba,26,1,1,Studio e kitnet,1400
Pinheiros,50,1,1,Apartamento,2415
Vila Formosa,70,2,0,Casa,1750
Jardim Testae,70,2,1,Casa,1550
Parque Alves de Lima,48,2,1,Apartamento,1890
Engenheiro Goulart,50,2,0,Casa,1300
Vila Antonieta,100,2,1,Casa,1800
Jardim Dom Bosco,69,2,1,Apartamento,3100
Vila Deodoro,97,3,0,Apartamento,2100
Lauzane Paulista,56,2,1,Apartamento,1900
Cursino,48,2,0,Casa em condomínio,1445
Vila Palmares,37,1,0,Apartamento,750
Campos Elíseos,34,1,0,Studio e kitnet,730
Vila Palmares,70,2,1,Casa,1324
Jardim Dourado,18,1,0,Apartamento,567
Vila Nova York,44,2,0,Apartamento,1600
Santana,90,2,1,Apartamento,2448
Liberdade,165,2,0,Casa,6000
Cangaíba,52,2,1,Apartamento,1500
Vila Paulo Silas,70,2,0,Casa,1500
Vila Ema,33,2,0,Apartamento,1500
Cambuci,42,2,0,Apartamento,1460
Sacoma,48,2,1,Apartamento,1600
Vila Vera,85,2,1,Casa,2000
Tucuruvi,38,1,0,Casa em condomínio,953
Cidade Patriarca,50,2,0,Casa,1150
Sumarezinho,45,1,0,Apartamento,2400
Jardim Cidália,170,3,2,Casa,3700
Vila Santa Maria,90,1,0,Casa,900
Bela Vista,34,1,1,Apartamento,2150
Sacomã,50,2,1,Apartamento,2350
Parque Maria Luiza,110,3,2,Casa,3255
Parque Monteiro Soares,50,2,1,Apartamento,1400
Vila Bertioga,86,3,2,Apartamento,3366
Jardim Montreal,197,2,3,Casa,3600
Jardim Castelo,48,2,1,Apartamento,1190
Mooca,33,1,0,Apartamento,2500
Jardim Aeroporto,70,2,1,Apartamento,2500
Jardim São Paulo(zona Norte),50,2,1,Apartamento,3052
Liberdade,39,1,0,Apartamento,1470
Vila Formosa,38,2,0,Casa,1600
Vila Antonieta,40,2,0,Casa,900
Vila Andrade,42,2,0,Apartamento,1800
Consolação,42,1,0,Studio e kitnet,3300
Jardim Prudência,73,3,1,Apartamento,2200
Bela Vista,34,1,0,Studio e kitnet,1105
Vila Moinho Velho,40,1,0,Casa,970
Vila Clarice,47,2,1,Apartamento,1500
Perdizes,70,2,1,Apartamento,4496
Vila Moraes,80,2,1,Casa,1550
Jardim Previdencia,49,2,0,Casa,1400
Jardim Santo Amaro,80,2,2,Apartamento,3350
Chácara Santo Antônio (zona Sul),38,1,0,Studio e kitnet,2350
Vila Carrao,60,2,1,Casa,1650
Socorro,50,2,1,Apartamento,2900
Campanário,40,2,1,Apartamento,1734
Jardim Leonor Mendes de Barros,47,2,1,Apartamento,2200
Centro,48,1,0,Apartamento,4000
Santana,40,1,0,Apartamento,2100
Parque Reboucas,30,1,0,Apartamento,685
Vila das Mercês,73,3,2,Apartamento,3000
Vila Maria,40,2,0,Apartamento,1350
Vila Araguaia,17,1,0,Casa,800
Pinheiros,40,1,1,Apartamento,4200
Campo Belo,111,3,1,Casa,4500
Vila Paulista,34,1,1,Apartamento,2200
Vila Floresta,77,3,2,Apartamento,2970
Jardim Londrina,50,1,2,Apartamento,2000
Vila Santa Edwiges,200,3,4,Casa,3860
Barra Funda,34,2,0,Apartamento,1800
